;title;book_url;author;author_url;rating;votes
16;The Boy, the Mole, the Fox and the Horse;https://www.goodreads.com/book/show/43708884-the-boy-the-mole-the-fox-and-the-horse;Charlie Mackesy;https://www.goodreads.com/author/show/3242801.Charlie_Mackesy;4.56;214455
17;A Memory of Light (The Wheel of Time, #14);https://www.goodreads.com/book/show/7743175-a-memory-of-light;Robert Jordan;https://www.goodreads.com/author/show/6252.Robert_Jordan;4.58;153151
18;The Will of the Many (Hierarchy, #1);https://www.goodreads.com/book/show/58416952-the-will-of-the-many;James  Islington;https://www.goodreads.com/author/show/8427407.James_Islington;4.61;91148
19;Manacled;https://www.goodreads.com/book/show/52122096-manacled;SenLinYu;https://www.goodreads.com/author/show/19089975.SenLinYu;4.64;119343
20;The Sun Does Shine: How I Found Life and Freedom on Death Row;https://www.goodreads.com/book/show/34964905-the-sun-does-shine;Anthony Ray Hinton;https://www.goodreads.com/author/show/17022329.Anthony_Ray_Hinton;4.65;69988
21;Paint It All Red (Mindf*ck, #5);https://www.goodreads.com/book/show/33361549-paint-it-all-red;S.T. Abby;https://www.goodreads.com/author/show/16120982.S_T_Abby;4.56;239155
22;The Trouble with Peace (The Age of Madness, #2);https://www.goodreads.com/book/show/40701777-the-trouble-with-peace;Joe Abercrombie;https://www.goodreads.com/author/show/276660.Joe_Abercrombie;4.6;37510
23;Jade Legacy (The Green Bone Saga, #3);https://www.goodreads.com/book/show/51057191-jade-legacy;Fonda Lee;https://www.goodreads.com/author/show/7705004.Fonda_Lee;4.63;34589
24;Assassin's Fate (The Fitz and the Fool, #3);https://www.goodreads.com/book/show/30688013-assassin-s-fate;Robin Hobb;https://www.goodreads.com/author/show/25307.Robin_Hobb;4.65;43932
25;Moon Rising (Wings of Fire, #6);https://www.goodreads.com/book/show/22323659-moon-rising;Tui T. Sutherland;https://www.goodreads.com/author/show/374504.Tui_T_Sutherland;4.58;30000
26;A Day in the Life of Marlon Bundo;https://www.goodreads.com/book/show/39319227-a-day-in-the-life-of-marlon-bundo;Jill Twiss;https://www.goodreads.com/author/show/17835618.Jill_Twiss;4.64;17625
27;Neverseen (Keeper of the Lost Cities, #4);https://www.goodreads.com/book/show/22733616-neverseen;Shannon Messenger;https://www.goodreads.com/author/show/5265998.Shannon_Messenger;4.57;50934
28;The Women;https://www.goodreads.com/book/show/127305853-the-women;Kristin Hannah;https://www.goodreads.com/author/show/54493.Kristin_Hannah;4.62;1046776
29;March: Book Three (March, #3);https://www.goodreads.com/book/show/29436571-march;John             Lewis;https://www.goodreads.com/author/show/6429079.John_Lewis;4.65;21165
30;The Eye of the Bedlam Bride (Dungeon Crawler Carl, #6);https://www.goodreads.com/book/show/125887685-the-eye-of-the-bedlam-bride;Matt Dinniman;https://www.goodreads.com/author/show/999015.Matt_Dinniman;4.68;22070
31;鬼滅の刃 8 [Kimetsu no Yaiba 8];https://www.goodreads.com/book/show/40376342-8-kimetsu-no-yaiba-8;Koyoharu Gotouge;https://www.goodreads.com/author/show/17299725.Koyoharu_Gotouge;4.67;18019
32;One Piece, Volume 38: Rocketman!!;https://www.goodreads.com/book/show/6801614-one-piece-volume-38;Eiichiro Oda;https://www.goodreads.com/author/show/208650.Eiichiro_Oda;4.64;15805
33;When Stars Are Scattered;https://www.goodreads.com/book/show/51864234-when-stars-are-scattered;Victoria Jamieson;https://www.goodreads.com/author/show/2849126.Victoria_Jamieson;4.61;29824
34;The Warden and the Wolf King (The Wingfeather Saga, #4);https://www.goodreads.com/book/show/22091081-the-warden-and-the-wolf-king;Andrew       Peterson;https://www.goodreads.com/author/show/746724.Andrew_Peterson;4.74;15474
35;チェンソーマン 9 [Chainsaw Man 9];https://www.goodreads.com/book/show/54702009-9-chainsaw-man-9;Tatsuki Fujimoto;https://www.goodreads.com/author/show/15397162.Tatsuki_Fujimoto;4.64;18993
36;The Sandman, Vol. 9: The Kindly Ones;https://www.goodreads.com/book/show/71252.The_Sandman_Vol_9;Neil Gaiman;https://www.goodreads.com/author/show/1221698.Neil_Gaiman;4.59;51819
37;Skin Game (The Dresden Files, #15);https://www.goodreads.com/book/show/19486421-skin-game;Jim  Butcher;https://www.goodreads.com/author/show/10746.Jim_Butcher;4.56;89155
38;Redeeming 6 (Boys of Tommen, #4);https://www.goodreads.com/book/show/110212831-redeeming-6;Chloe Walsh;https://www.goodreads.com/author/show/7858234.Chloe_Walsh;4.64;108367
