position,name,genre,url,description,ratingValue,ratingCount,bestRating,worstRating
83,Matlock,"Crime, Drama",https://www.imdb.com/title/tt26591147/,"Follows Madeline Matlock as she rejoins the work force at a prestigious law firm, where she uses her wily tactics to win cases and expose wrongdoing.",7.7,6269,10,1
84,The Bear,"Comedy, Drama",https://www.imdb.com/title/tt14452776/,A young chef from the fine dining world returns to Chicago to run his family&apos;s sandwich shop.,8.5,256715,10,1
85,Fargo,"Crime, Drama, Thriller",https://www.imdb.com/title/tt2802850/,"Various chronicles of deception, intrigue, and murder in and around frozen Minnesota. All of these tales mysteriously lead back one way or another to Fargo, North Dakota.",8.9,436471,10,1
86,Superman &amp; Lois,"Action, Adventure, Drama",https://www.imdb.com/title/tt11192306/,"The world&apos;s most famous superhero and comic books&apos; most famous journalist face the pressures and complexities that come with balancing work, justice, and parenthood in today&apos;s society.",7.8,44362,10,1
87,Gilmore Girls,"Comedy, Drama",https://www.imdb.com/title/tt0238784/,"A dramedy centering around the relationship between a thirtysomething single mother and her teen daughter living in Stars Hollow, Connecticut.",8.2,156681,10,1
88,Vikings,"Action, Adventure, Drama",https://www.imdb.com/title/tt2306299/,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore--and raid--the distant shores across the ocean.",8.5,605319,10,1
89,The Lord of the Rings: The Rings of Power,"Action, Adventure, Drama",https://www.imdb.com/title/tt7631058/,"Epic drama set thousands of years before the events of J.R.R. Tolkien&apos;s &apos;The Hobbit&apos; and &apos;The Lord of the Rings&apos; follows an ensemble cast of characters, both familiar and new, as they confront the long-feared re-emergence of evil ...",6.9,413051,10,1
90,Tracker,"Crime, Drama",https://www.imdb.com/title/tt13875494/,"Colter Shaw travels the country in his old-school RV, helping police and private citizens solve crimes and locate missing persons--until his latest case changes everything.",7.1,16607,10,1
91,Succession,"Comedy, Drama",https://www.imdb.com/title/tt7660850/,"The Roy family is known for controlling the biggest media and entertainment company in the world. However, their world changes when their father steps down from the company.",8.8,300614,10,1
92,Doctor Who,"Adventure, Drama, Sci-Fi",https://www.imdb.com/title/tt0436992/,The further adventures in time and space of the alien adventurer known as the Doctor and his companions from planet Earth.,8.5,253812,10,1
93,Disclaimer,"Drama, Mystery, Thriller",https://www.imdb.com/title/tt16294384/,"Follows Catherine Ravenscroft, a television documentary journalist whose work has been built on revealing the transgressions of long-respected institutions.",7.5,22873,10,1
94,Malcolm in the Middle,"Comedy, Family",https://www.imdb.com/title/tt0212671/,"A gifted young teen tries to survive life with his dimwitted, dysfunctional family.",8.2,146813,10,1
95,Shameless,"Comedy, Drama",https://www.imdb.com/title/tt1586680/,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies.",8.5,302232,10,1
96,Only Murders in the Building,"Comedy, Crime, Drama",https://www.imdb.com/title/tt11691774/,Three strangers - who live in the same New York City apartment building and share an obsession with true crime - suddenly find themselves embroiled in a murder.,8.1,178758,10,1
97,Modern Family,"Comedy, Drama, Romance",https://www.imdb.com/title/tt1442437/,"Three different, but related, families face trials and tribulations in their own uniquely comedic ways.",8.5,504604,10,1
98,Shetland,"Crime, Drama, Mystery",https://www.imdb.com/title/tt2396135/,A local police team investigates crimes within the close-knit island community of Shetland.,8.3,27918,10,1
99,Senna,"Biography, Drama, Sport",https://www.imdb.com/title/tt13024830/,"Fictional miniseries based on the life of Ayrton Senna da Silva, the Brazilian racing legend who won the Formula One World Drivers&apos; Championship three times.",8.3,11476,10,1
100,Shogun,"Adventure, Drama, History",https://www.imdb.com/title/tt2788316/,"When a mysterious European ship is found marooned in a nearby Japanese fishing village, Lord Yoshii Toranaga discovers secrets that could tip the scales of power and devastate his enemies.",8.6,193753,10,1
