position,name,genre,url,description,ratingValue,ratingCount,bestRating,worstRating
73,Better Man,"Biography, Fantasy, Musical",https://www.imdb.com/title/tt14260836/,A singular profile of British pop superstar Robbie Williams.,7.5,1873.0,10.0,1.0
74,Terrifier 3,Horror,https://www.imdb.com/title/tt27911000/,Art the Clown is set to unleash chaos on the unsuspecting residents of Miles County as they peacefully drift off to sleep on Christmas Eve.,6.4,40414.0,10.0,1.0
75,The Holdovers,"Comedy, Drama",https://www.imdb.com/title/tt14849194/,"A curmudgeonly instructor at a New England school remains on campus during Christmas break. He soon forms an unlikely bond with a brainy but damaged troublemaker, and with the school&apos;s cook, a woman who just lost a son in the Viet...",7.9,183888.0,10.0,1.0
76,Harry Potter and the Sorcerer&apos;s Stone,"Adventure, Family, Fantasy",https://www.imdb.com/title/tt0241527/,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",7.7,886571.0,10.0,1.0
77,Mary,Drama,https://www.imdb.com/title/tt32084246/,"In this timeless coming-of-age story, Mary is shunned following an otherworldly conception and forced to flee when Herod&apos;s insatiable thirst for power ignites a murderous pursuit for the newborn.",5.2,6466.0,10.0,1.0
78,We Live in Time,"Drama, Romance",https://www.imdb.com/title/tt27131358/,"An up-and-coming chef and a recent divorcée find their lives forever changed when a chance encounter brings them together, in a decade-spanning, deeply moving romance.",7.0,23119.0,10.0,1.0
79,Last Christmas,"Comedy, Drama, Fantasy",https://www.imdb.com/title/tt8623904/,"Kate is a young woman subscribed to bad decisions. Working as an elf in a year-round Christmas store is not good for the wannabe singer. However, she meets Tom there. Her life takes a new turn--that seems too good to be true.",6.5,95904.0,10.0,1.0
80,Speak No Evil,"Drama, Horror, Thriller",https://www.imdb.com/title/tt27534307/,"A family is invited to spend a whole weekend in a lonely home in the countryside, but as the weekend progresses, they realize that a dark side lies within the family who invited them.",6.8,72501.0,10.0,1.0
81,Nutcrackers,"Comedy, Drama",https://www.imdb.com/title/tt30144381/,"In the most unlikely of places, four siblings find a loving shelter in an unexpected turn of circumstances. This endearing comedy-drama draws inspiration from actual events and deftly crafts a gripping story that unites everyone.",5.5,8057.0,10.0,1.0
82,Longlegs,"Crime, Horror, Thriller",https://www.imdb.com/title/tt23468450/,"In pursuit of a serial killer, an FBI agent uncovers a series of occult clues that she must solve to end his terrifying killing spree.",6.7,147120.0,10.0,1.0
83,The Order,"Crime, Drama, Thriller",https://www.imdb.com/title/tt26625693/,"A series of bank robberies and car heists frightened communities in the Pacific Northwest. A lone FBI agent believes that the crimes were not the work of financially motivated criminals, but rather a group of dangerous domestic te...",6.9,6619.0,10.0,1.0
84,The Best Christmas Pageant Ever,"Adventure, Comedy, Drama",https://www.imdb.com/title/tt2347285/,Nobody is ready for the mayhem and surprises that ensue when six of the worst youngsters disrupt the town&apos;s yearly Christmas performance.,6.8,4878.0,10.0,1.0
85,Jingle All the Way,"Adventure, Comedy, Family",https://www.imdb.com/title/tt0116705/,"A father vows to get his son a Turbo Man action figure for Christmas. However, every store is sold out, and he must travel all over town and compete with everybody else in order to find one.",5.7,121638.0,10.0,1.0
86,The Batman,"Action, Crime, Drama",https://www.imdb.com/title/tt1877830/,"When a sadistic serial killer begins murdering key political figures in Gotham, the Batman is forced to investigate the city&apos;s hidden corruption and question his family&apos;s involvement.",7.8,848234.0,10.0,1.0
87,The Merry Gentlemen,"Comedy, Musical, Romance",https://www.imdb.com/title/tt32368345/,"To save her parents&apos; small-town performing venue, a former big-city dancer decides to stage an all-male, Christmas-themed revue.",4.8,9180.0,10.0,1.0
88,The Wild Robot,"Animation, Sci-Fi",https://www.imdb.com/title/tt29623480/,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island&apos;s animals and cares for an orphaned baby goose.",8.2,103913.0,10.0,1.0
89,Straume,"Animation, Adventure, Family",https://www.imdb.com/title/tt4772188/,"Cat is a solitary animal, but as its home is devastated by a great flood, he finds refuge on a boat populated by various species, and will have to team up with them despite their differences.",7.9,8809.0,10.0,1.0
